day number,date,Cursor (expected),Other Models (expected),Cursor (estimated),Other Models (estimated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0585,0.0000,0
2,2026-08-03,0.0006,0.0016,0.0590,0.0018,0
3,2026-08-04,0.0100,0.0242,0.0665,0.0269,0
4,2026-08-05,0.0193,0.0469,0.0741,0.0520,0
5,2026-08-06,0.0286,0.0696,0.0817,0.0772,0
6,2026-08-07,0.0379,0.0922,0.0892,0.1023,0
7,2026-08-08,0.0473,0.1149,0.0968,0.1275,0
8,2026-08-09,0.0566,0.1375,0.1043,0.1526,0
9,2026-08-10,0.0659,0.1602,0.1119,0.1778,0
10,2026-08-11,0.0752,0.1829,0.1194,0.2029,0
11,2026-08-12,0.0845,0.2055,0.1270,0.2281,0
12,2026-08-13,0.0939,0.2282,0.1345,0.2532,0
13,2026-08-14,0.1032,0.2508,0.1421,0.2784,0
14,2026-08-15,0.1125,0.2735,0.1496,0.3035,0
15,2026-08-16,0.1218,0.2962,0.1572,0.3287,0
16,2026-08-17,0.1311,0.3188,0.1648,0.3538,0
17,2026-08-18,0.1405,0.3415,0.1723,0.3790,0
18,2026-08-19,0.1498,0.3642,0.1799,0.4041,0
19,2026-08-20,0.1591,0.3868,0.1874,0.4293,0
20,2026-08-21,0.1684,0.4095,0.1950,0.4544,0
21,2026-08-22,0.1777,0.4321,0.2025,0.4796,0
22,2026-08-23,0.1871,0.4548,0.2101,0.5047,0
23,2026-08-24,0.1964,0.4775,0.2176,0.5299,0
24,2026-08-25,0.2057,0.5001,0.2252,0.5550,0
25,2026-08-26,0.2150,0.5228,0.2327,0.5802,0
26,2026-08-27,0.2244,0.5454,0.2403,0.6053,0
27,2026-08-28,0.2337,0.5681,0.2479,0.6305,0
28,2026-08-29,0.2430,0.5908,0.2554,0.6556,1
29,2026-08-30,0.2712,0.6352,0.2630,0.6808,1
30,2026-08-31,0.2926,0.7793,0.2705,0.7059,1
31,2026-09-01,0.2926,0.7793,0.2781,0.7311,1
32,2026-09-02,0.2926,0.7793,0.2856,0.7562,1
