day number,date,Cursor (linear),Other Models (linear),Cursor (recalculated),Other Models (recalculated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0000,0.0000,0
2,2026-08-03,0.0323,0.0323,0.0357,0.0214,0
3,2026-08-04,0.0645,0.0645,0.0714,0.0429,0
4,2026-08-05,0.0968,0.0968,0.1071,0.0643,0
5,2026-08-06,0.1290,0.1290,0.1429,0.0857,0
6,2026-08-07,0.1613,0.1613,0.1786,0.1071,0
7,2026-08-08,0.1935,0.1935,0.2143,0.1286,0
8,2026-08-09,0.2258,0.2258,0.2500,0.1500,0
9,2026-08-10,0.2581,0.2581,0.2857,0.1714,0
10,2026-08-11,0.2903,0.2903,0.3214,0.1929,0
11,2026-08-12,0.3226,0.3226,0.3571,0.2143,0
12,2026-08-13,0.3548,0.3548,0.3929,0.2357,0
13,2026-08-14,0.3871,0.3871,0.4286,0.2571,0
14,2026-08-15,0.4194,0.4194,0.4643,0.2786,0
15,2026-08-16,0.4516,0.4516,0.5000,0.3000,1
16,2026-08-17,0.4839,0.4839,0.5200,0.3200,0
17,2026-08-18,0.5161,0.5161,0.5400,0.3400,0
18,2026-08-19,0.5484,0.5484,0.5600,0.3600,0
19,2026-08-20,0.5806,0.5806,0.5800,0.3800,0
20,2026-08-21,0.6129,0.6129,0.6000,0.4000,1
21,2026-08-22,0.6452,0.6452,0.6333,0.4500,0
22,2026-08-23,0.6774,0.6774,0.6667,0.5000,0
23,2026-08-24,0.7097,0.7097,0.7000,0.5500,0
24,2026-08-25,0.7419,0.7419,0.7333,0.6000,0
25,2026-08-26,0.7742,0.7742,0.7667,0.6500,0
26,2026-08-27,0.8065,0.8065,0.8000,0.7000,0
27,2026-08-28,0.8387,0.8387,0.8333,0.7500,0
28,2026-08-29,0.8710,0.8710,0.8667,0.8000,0
29,2026-08-30,0.9032,0.9032,0.9000,0.8500,0
30,2026-08-31,0.9355,0.9355,0.9333,0.9000,0
31,2026-09-01,0.9677,0.9677,0.9667,0.9500,0
