day number,date,Cursor (expected),Other Models (expected),Cursor (estimated),Other Models (estimated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0000,0.0000,0
2,2026-08-03,0.0323,0.0323,0.0474,0.0456,0
3,2026-08-04,0.0645,0.0645,0.0948,0.0912,0
4,2026-08-05,0.0968,0.0968,0.1422,0.1368,0
5,2026-08-06,0.1290,0.1290,0.1896,0.1824,0
6,2026-08-07,0.1613,0.1613,0.2370,0.2280,0
7,2026-08-08,0.1935,0.1935,0.2844,0.2736,0
8,2026-08-09,0.2258,0.2258,0.3318,0.3192,0
9,2026-08-10,0.2581,0.2581,0.3792,0.3648,0
10,2026-08-11,0.2903,0.2903,0.4266,0.4105,0
11,2026-08-12,0.3226,0.3226,0.4740,0.4561,0
12,2026-08-13,0.3548,0.3548,0.5214,0.5017,0
13,2026-08-14,0.3871,0.3871,0.5688,0.5473,0
14,2026-08-15,0.4194,0.4194,0.6163,0.5929,0
15,2026-08-16,0.4516,0.4516,0.6637,0.6385,0
16,2026-08-17,0.4839,0.4839,0.7111,0.6841,0
17,2026-08-18,0.5161,0.5161,0.7585,0.7297,1
18,2026-08-19,0.5484,0.5484,0.8059,0.7753,0
19,2026-08-20,0.5806,0.5806,0.8533,0.8209,0
20,2026-08-21,0.6129,0.6129,0.9007,0.8665,0
21,2026-08-22,0.6452,0.6452,0.9481,0.9121,0
22,2026-08-23,0.6774,0.6774,0.9955,0.9577,0
23,2026-08-24,0.7097,0.7097,1.0429,1.0033,0
24,2026-08-25,0.7419,0.7419,1.0903,1.0489,0
25,2026-08-26,0.7742,0.7742,1.1377,1.0945,0
26,2026-08-27,0.8065,0.8065,1.1851,1.1401,0
27,2026-08-28,0.8387,0.8387,1.2325,1.1857,0
28,2026-08-29,0.8710,0.8710,1.2799,1.2314,0
29,2026-08-30,0.9032,0.9032,1.3273,1.2770,0
30,2026-08-31,0.9355,0.9355,1.3747,1.3226,0
31,2026-09-01,0.9677,0.9677,1.4221,1.3682,0
