day number,date,Cursor (linear),Other Models (linear),Cursor (recalculated),Other Models (recalculated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0000,0.0000,0
2,2026-08-03,0.0200,0.0300,0.0200,0.0300,0
3,2026-08-04,0.0400,0.0600,0.0400,0.0700,0
4,2026-08-05,0.0600,0.0900,0.0700,0.1000,0
5,2026-08-06,0.0800,0.1300,0.0900,0.1300,0
6,2026-08-07,0.1000,0.1600,0.1100,0.1700,0
7,2026-08-08,0.1200,0.1900,0.1300,0.2000,0
8,2026-08-09,0.1400,0.2200,0.1500,0.2400,0
9,2026-08-10,0.1600,0.2600,0.1700,0.2700,0
10,2026-08-11,0.1800,0.2900,0.2000,0.3000,0
11,2026-08-12,0.2000,0.3200,0.2200,0.3400,0
12,2026-08-13,0.2200,0.3500,0.2400,0.3700,0
13,2026-08-14,0.2400,0.3900,0.2600,0.4000,0
14,2026-08-15,0.2600,0.4200,0.2800,0.4400,0
15,2026-08-16,0.2800,0.4500,0.3100,0.4700,0
16,2026-08-17,0.3000,0.4800,0.3300,0.5000,0
17,2026-08-18,0.3400,0.5200,0.3500,0.5400,1
18,2026-08-19,0.3700,0.5500,0.3700,0.5700,0
19,2026-08-20,0.4100,0.5800,0.3900,0.6000,0
20,2026-08-21,0.4600,0.6100,0.4100,0.6400,0
21,2026-08-22,0.5000,0.6400,0.4400,0.6700,0
22,2026-08-23,0.5500,0.6800,0.4600,0.7100,0
23,2026-08-24,0.5900,0.7100,0.4800,0.7400,0
24,2026-08-25,0.6400,0.7400,0.5000,0.7700,0
25,2026-08-26,0.6800,0.7700,0.5200,0.8100,0
26,2026-08-27,0.7300,0.8000,0.5500,0.8400,0
27,2026-08-28,0.7700,0.8400,0.5700,0.8700,0
28,2026-08-29,0.8200,0.8700,0.5900,0.9100,0
29,2026-08-30,0.8600,0.9000,0.6100,0.9400,0
30,2026-08-31,0.9100,0.9300,0.6300,0.9700,0
31,2026-09-01,0.9500,0.9600,0.6500,1.0100,0
