day number,date,Cursor (expected),Other Models (expected),Cursor (estimated),Other Models (estimated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0000,0.0000,0
2,2026-08-03,0.0006,0.0016,0.0007,0.0016,0
3,2026-08-04,0.0100,0.0242,0.0108,0.0251,0
4,2026-08-05,0.0193,0.0469,0.0208,0.0486,0
5,2026-08-06,0.0286,0.0696,0.0309,0.0720,0
6,2026-08-07,0.0379,0.0922,0.0410,0.0955,0
7,2026-08-08,0.0473,0.1149,0.0510,0.1190,0
8,2026-08-09,0.0566,0.1375,0.0611,0.1424,0
9,2026-08-10,0.0659,0.1602,0.0712,0.1659,0
10,2026-08-11,0.0752,0.1829,0.0812,0.1894,0
11,2026-08-12,0.0845,0.2055,0.0913,0.2128,0
12,2026-08-13,0.0939,0.2282,0.1014,0.2363,0
13,2026-08-14,0.1032,0.2508,0.1114,0.2598,0
14,2026-08-15,0.1125,0.2735,0.1215,0.2832,0
15,2026-08-16,0.1218,0.2962,0.1316,0.3067,0
16,2026-08-17,0.1311,0.3188,0.1417,0.3302,0
17,2026-08-18,0.1405,0.3415,0.1517,0.3536,0
18,2026-08-19,0.1498,0.3642,0.1618,0.3771,0
19,2026-08-20,0.1591,0.3868,0.1719,0.4005,0
20,2026-08-21,0.1684,0.4095,0.1819,0.4240,0
21,2026-08-22,0.1777,0.4321,0.1920,0.4475,0
22,2026-08-23,0.1871,0.4548,0.2021,0.4709,0
23,2026-08-24,0.1964,0.4775,0.2121,0.4944,0
24,2026-08-25,0.2057,0.5001,0.2222,0.5179,0
25,2026-08-26,0.2150,0.5228,0.2323,0.5413,0
26,2026-08-27,0.2244,0.5454,0.2423,0.5648,0
27,2026-08-28,0.2337,0.5681,0.2524,0.5883,0
28,2026-08-29,0.2430,0.5908,0.2625,0.6117,1
29,2026-08-30,0.2712,0.6352,0.2725,0.6352,1
30,2026-08-31,0.4572,0.7279,0.2826,0.6587,0
31,2026-09-01,0.6425,0.8207,0.2927,0.6821,0
32,2026-09-02,0.8277,0.9136,0.3027,0.7056,0
